id_poliza,fecha_emision,id_cliente,id_corredor,id_aseguradora,id_tipo_seguro,prima,comision,monto_asegurado
10,2026-01-24,2281,69,13,3,791.38,6744.0,20710.0
26,2025-07-29,2295,71,11,4,614.46,14978.0,36670.97
45,2025-12-11,2278,66,3,11,1539.37,240.41,114732.26
49,2025-08-11,1122,2,14,4,337.32,69.59,47210.14
50,2025-02-22,717,49,15,10,518.78,8645.0,66.87199
66,2025-03-04,1352,21,12,6,776.33,147.21,112829.12
74,2025-01-04,2814,64,5,7,1809.88,358.53,279782.46
82,2025-07-18,2392,21,3,4,0.0,83.63,33866.99
99,2025-05-12,490,57,1,1,716.12,159.79,23929.67
104,2025-10-20,3524,7,11,8,149.44,10.64,17925.05
140,2025-02-17,1227,48,8,5,1.43554,163.56,44225.55
159,2025-09-04,1637,5,2,5,748.78,8265.0,84100.56
164,2026-01-16,851,50,13,9,501.92,6200.0,81059.4
166,2025-05-09,2302,35,4,12,1.92436,409.1,50.2387
185,2026-01-04,1468,27,7,12,1.85209,243.81,347316.23
190,2025-12-07,2854,70,13,4,953.96,,93.78736
191,2025-11-12,837,34,12,3,1076.04,173.48,144639.86
200,2026-02-12,239,79,11,1,1218.97,181.78,225.90231
204,2025-11-27,2424,50,5,7,1.61432,388.18,80347.81
221,2025-03-15,2725,80,11,1,61619.0,75.06,115464.32
230,2025-12-19,1245,6,13,3,238.5,,44718.94
277,2025-06-04,2165,16,13,12,11344.0,11.06,22028.53
280,2025-06-22,1387,76,1,4,154.59,23.6,19097.08
285,2025-07-06,2457,37,9,5,1.15992,229.02,119625.01
288,2025-07-06,1378,72,4,5,738.72,128.9,59.48036
322,2025-08-19,454,75,11,3,850.81,,166822.37
327,2025-06-30,184,7,8,6,256.39,36.77,17389.16
330,2025-07-15,2011,15,10,2,1158.76,,143147.74
336,2025-11-26,1444,54,3,10,55034.0,4947.0,20954.52
338,2025-06-28,1141,75,3,2,1845.6,92.8,319554.79
356,2025-10-31,729,63,14,7,1517.29,,224140.06
360,2025-04-12,3666,59,7,9,86149.0,,36.65144
414,2025-08-15,2278,72,11,12,867.96,132.06,147649.9
422,2025-08-07,181,4,8,5,1880.35,131.37,131.69852
429,2026-01-04,1774,50,7,5,987.28,12717.0,119.64351
431,2025-03-27,21,56,2,11,1414.67,17310.0,38629.85
435,2025-12-31,365,31,6,6,1.93931,,357.79518
